Useless,Price
214,110000
215,989900
216,269000
217,416780
218,2900000
219,4050000
220,1852500
221,320000
222,86500
223,250000
224,547000
225,500000
226,710000
227,710000
228,245000
229,580000
230,292900
231,164900
232,600000
233,218900
234,585000
235,220000
236,485000
237,440000
238,220000
239,295000
240,288000
241,295000
242,220000
243,192000
244,130000
245,592000
246,127900
247,265000
248,146000
249,179000
250,460000
251,475000
252,410000
253,184000
254,284900
255,635000
256,242500
257,418750
258,399900
259,267000
260,565000
261,870000
262,495000
263,236000
264,442500
265,900000
266,220000
267,212000
268,205500
269,312500
270,309000
271,750000
272,183000
273,300000
274,867500
275,260000
276,950000
277,107000
278,193000
279,394000
280,334000
281,250000
282,329000
283,87000
284,913000
285,520000
286,485000
287,576000
288,315000
289,139500
290,225000
291,554500
292,322000
293,169500
294,135000
295,458000
296,515000
297,457500
298,683000
299,345000
300,249900
301,167000
302,399000
303,130000
304,459900
305,279900
306,323000
307,130500
308,195000
309,196000
310,115000
311,319000
312,365000
313,250000
314,730000
315,235000
316,280000
317,1951800
318,250000
319,145000
320,1575000
321,559000
322,465000
323,801000
324,285000
325,485000
326,215000
327,424900
328,137500
329,480000
330,118000
331,470000
332,245000
333,515000
334,213500
335,1380000
336,129500
337,139000
338,415000
339,119000
340,727500
341,591250
342,274500
343,665000
344,782000
345,635000
346,159000
347,580000
348,229900
349,204000
350,370900
351,208000
352,245000
353,299900
354,100000
355,400000
356,450000
357,635000
358,282000
359,351000
360,338900
361,524750
362,160000
363,195000
364,319900
365,520000
366,399000
367,290000
368,329000
369,215000
370,1025000
371,189900
372,152000
373,435000
374,389000
375,407000
376,72000
377,205000
378,246000
379,531000
380,246500
381,225000
382,940000
383,188000
384,72000
385,394000
386,743000
387,412000
388,260000
389,449000
390,280000
391,260000
392,115000
393,120450
394,56100
395,430000
396,141000
397,900000
398,390000
399,975000
400,351900
401,230000
402,775000
403,350000
404,169000
405,546500
406,260000
407,265000
408,170000
409,366000
410,110000
411,682000
412,45000
413,245000
414,498900
415,469500
416,314000
417,1600000
418,477500
419,665900
420,1150000
421,490000
422,600000
423,35000
424,369000
425,299900
426,317000
427,245000
428,250000
429,270000
430,267000
431,270000
432,260000
433,155000
434,67000
435,456000
436,208000
437,135000
438,185000
439,315000
440,240000
441,1100000
442,232900
443,325000
444,375000
445,205000
446,215000
447,245000
448,233900
449,1265000
450,117000
451,200000
452,235000
453,600000
454,140000
455,390000
456,665000
457,142500
458,585000
459,578000
460,441500
461,723475
462,120300
463,366000
464,815000
465,214900
466,262000
467,280000
468,1525000
469,390000
470,198000
471,325000
472,370000
473,609000
474,250000
475,182500
476,153000
477,360000
478,261000
479,32000
480,330000
481,945000
482,170000
483,405000
484,75000
485,428000
486,348000
487,400000
488,335500
489,220000
490,305000
491,276000
492,392500
493,316000
494,275000
495,112350
496,450000
497,160000
498,115000
499,735000
500,340000
501,255000
502,349000
503,230000
504,275000
505,700000
506,310000
507,337000
508,490000
509,575000
510,710000
511,340000
512,400000
513,255000
514,215000
515,399900
516,405000
517,385001
518,120000
519,155000
520,366500
521,395000
522,293000
523,325000
524,360100
525,469400
526,122500
527,460000
528,1325000
529,715000
530,250000
531,397500
532,1699000
533,148400
534,122000
535,342500
536,547500
537,381600
538,237000
539,229900
540,425000
541,573000
542,890000
543,575000
544,499000
545,670000
546,473000
547,176000
548,465000
549,406000
550,620000
551,285000
552,700000
553,449000
554,893000
555,1325000
556,303000
557,228000
558,300000
559,560000
560,250000
561,290000
562,251500
563,128000
564,445000
565,98000
566,1153000
567,625000
568,449000
569,370000
570,422000
571,347500
572,325000
573,414250
574,600000
575,165000
576,415000
577,752500
578,385000
579,335000
580,215000
581,342000
582,310000
583,215000
584,225000
585,400000
586,305000
587,235000
588,415000
589,175000
590,390000
591,345000
592,595000
593,563000
594,209900
595,119000
596,156000
597,700000
598,212000
599,300665
600,340000
601,920000
602,252900
603,950000
604,460000
605,850000
606,350000
607,315000
608,635000
609,625000
610,350000
611,406063
612,355000
613,274000
614,375500
615,300000
616,125000
617,435500
618,330000
619,280000
620,525000
621,399000
622,527500
623,315000
624,319900
625,259000
626,125000
627,320000
628,315000
629,296000
630,53000
631,644500
632,192900
633,599000
634,130000
635,282500
636,195100
637,380000
638,69900
639,160000
640,609000
641,842000
642,1660000
643,512500
644,185000
645,216500
646,185000
647,320000
648,40500
649,24800
650,384250
651,220000
652,340000
653,292000
654,435000
655,169000
656,999000
657,229000
658,275000
659,265000
660,170000
661,95000
662,555000
663,750000
664,505060
665,410000
666,841900
667,275000
668,255900
669,249900
670,125000
671,650000
672,149000
673,195000
674,340000
675,325000
676,380000
677,480000
678,474500
679,348473
680,620000
681,255000
682,540000
683,525000
684,268000
685,382500
686,90000
687,417500
688,216900
689,274000
690,450000
691,229000
692,290000
693,490000
694,230000
695,150000
696,1145000
697,360000
698,83000
699,250000
700,262500
701,338000
702,1630000
703,55750
704,250000
705,1500000
706,439000
707,403000
708,220000
709,134900
710,242500
711,138000
712,330000
713,1465000
714,670000
715,357000
716,640000
717,548900
718,173000
719,235000
720,70000
721,326000
722,320000
723,566000
724,528800
725,275000
726,434500
727,310000
728,470000
729,370000
730,275000
731,430000
732,475000
733,929000
734,225000
735,277900
736,169500
737,245000
738,788000
739,624000
740,317500
741,323500
742,840000
743,407000
744,196000
745,192500
746,345000
747,97000
748,1520000
749,430000
750,184900
751,605000
752,210400
753,387000
754,239000
755,295000
756,269000
757,1100000
758,285000
759,170300
760,335000
761,685000
762,220000
763,395000
764,548000
765,300000
766,3550000
767,241000
768,155000
769,360000
770,300000
771,280000
772,425000
773,538900
774,196000
775,305000
776,1015000
777,2077000
778,655000
779,1100000
780,550000
781,430000
782,510000
783,455000
784,357500
785,205000
786,390000
787,230000
788,181000
789,493500
790,230000
791,425000
792,156900
793,405000
794,178000
795,895000
796,493500
797,402500
798,362500
799,299000
800,325000
801,323000
802,372500
803,440000
804,613000
805,410000
806,548500
807,165000
808,199900
809,268000
810,1055000
811,180000
812,270000
813,174500
814,221000
815,1275000
816,375000
817,280000
818,725000
819,390000
820,279000
821,300000
822,844000
823,255000
824,716000
825,773000
826,189900
827,270000
828,330000
829,220000
830,323000
831,472000
832,184900
833,275000
834,315000
835,245000
836,222000
837,420000
838,325000
839,105000
840,156900
841,326000
842,412000
843,682000
844,749000
845,379000
846,690000
847,138300
848,785000
849,207000
850,310000
851,470000
852,340000
853,345000
854,517500
855,240000
856,510000
857,285000
858,322500
859,210000
860,420000
861,425000
862,488000
863,245000
864,597000
865,189000
866,661375
867,311000
868,1900000
869,2625000
870,326650
871,376295
872,227000
873,207500
874,323600
875,140000
876,404300
877,135000
878,179000
879,1875000
880,382500
881,300000
882,1050000
883,169900
884,245000
885,225000
886,485000
887,255000
888,258500
889,405000
890,59000
891,160000
892,84000
893,43500
894,265000
895,70000
896,152000
897,975000
898,250000
899,107000
900,399900
901,290000
902,275500
903,645430
904,239000
905,185000
906,190050
907,355000
908,92000
909,780000
910,515000
911,599000
912,250000
913,455000
914,720000
915,2850000
916,261500
917,625000
918,102000
919,485000
920,337000
921,67000
922,475000
923,288000
924,1600000
925,514000
926,410000
927,278000
928,295000
929,432000
930,369000
931,433000
932,588500
933,325000
934,82687
935,329000
936,659000
937,466100
938,280000
939,332000
940,235000
941,219000
942,194900
943,423000
944,82500
945,269900
946,90000
947,255000
948,185000
949,225000
950,95000
951,315000
952,485000
953,236000
954,895000
955,459900
956,200000
957,449148
958,365000
959,555000
960,230000
961,286000
962,393700
963,287500
964,465000
965,375000
966,309000
967,393000
968,228000
969,245000
970,780000
971,238000
972,1155000
973,125114
974,335000
975,235900
976,153000
977,230000
978,395000
979,270000
980,300000
981,217000
982,393000
983,1029000
984,280000
985,540000
986,202000
987,245000
988,275000
989,467000
990,270000
991,325000
992,325000
993,30000
994,425000
995,1331000
996,354000
997,1360000
998,270000
999,525000
1000,69500
1001,445000
1002,2080000
1003,329900
1004,736500
1005,404000
1006,115000
1007,395000
1008,452500
1009,145000
1010,315000
1011,490000
1012,253000
1013,300000
1014,1675000
1015,185000
1016,227000
1017,315000
1018,687100
1019,574900
1020,265000
1021,485000
1022,199900
1023,255000
1024,534000
1025,145000
1026,227500
1027,274000
1028,460500
1029,1373000
1030,269000
1031,545000
1032,410000
1033,385000
1034,330000
1035,60000
1036,805000
1037,278000
1038,395000
1039,130000
1040,182000
1041,380000
1042,330000
1043,81000
1044,277000
1045,525000
1046,629900
1047,194000
1048,380000
1049,285000
1050,235000
1051,700000
1052,262000
1053,218500
1054,330000
1055,200000
1056,661001
1057,380000
1058,385000
1059,392000
1060,515500
1061,465000
1062,284500
1063,275000
1064,300000
1065,1640000
1066,505000
1067,367500
1068,695000
1069,183500
1070,300000
1071,1415000
1072,448000
1073,230100
1074,544250
1075,325000
1076,700000
1077,250000
1078,720500
1079,345000
1080,3600000
1081,281000
1082,257500
1083,2600000
1084,356000
1085,1850000
1086,390000
1087,267500
1088,112500
1089,2825000
1090,65000
1091,195000
1092,165000
1093,2275000
1094,875000
1095,685000
1096,415000
1097,450000
1098,169000
1099,386000
1100,280000
1101,500000
1102,123500
1103,285500
1104,450000
1105,167500
1106,639900
1107,285000
1108,655000
1109,265000
1110,410000
1111,540000
1112,484000
1113,695000
1114,95000
1115,235000
1116,599000
1117,355000
1118,245000
1119,820000
1120,226000
1121,280000
1122,1500000
1123,371500
1124,705000
1125,390000
1126,154500
1127,217500
1128,1150000
1129,899000
1130,335000
1131,694900
1132,1290000
1133,275000
1134,834500
1135,550000
1136,490000
1137,208000
1138,318000
1139,3500000
1140,236000
1141,478000
1142,2350000
1143,330000
1144,59500
1145,931000
1146,485000
1147,1937000
1148,630000
1149,825000
1150,678900
1151,289000
1152,249900
1153,1275000
1154,1125000
1155,555000
1156,110000
1157,445000
1158,210000
1159,410000
1160,253000
1161,565000
1162,2048000
1163,324000
1164,490000
1165,258500
1166,158000
1167,550000
1168,334900
1169,205000
1170,544250
1171,265000
1172,260000
1173,137000
1174,539900
1175,102000
1176,215000
1177,655000
1178,125000
1179,410000
1180,150000
1181,705500
1182,529900
1183,180000
1184,350000
1185,80000
1186,505000
1187,417000
1188,288000
1189,200000
1190,332500
1191,180000
1192,203000
1193,270000
1194,217500
1195,606000
1196,106000
1197,295000
1198,275000
1199,453625
1200,170000
1201,185500
1202,178000
1203,585000
1204,123500
1205,436500
1206,516045
1207,212000
1208,159050
1209,425000
1210,255000
1211,1125000
1212,99900
1213,419900
1214,103550
1215,233000
1216,240000
1217,295000
1218,225000
1219,450000
1220,205000
1221,360000
1222,570000
1223,120900
1224,340000
1225,946500
1226,557000
1227,415000
1228,600000
1229,180000
1230,265000
1231,470000
1232,475000
1233,192500
1234,2830100
1235,185000
1236,369000
1237,74999
1238,1500000
1239,264000
1240,305000
1241,275000
1242,239900
1243,365000
1244,160160
1245,153000
1246,184000
1247,502500
1248,319900
1249,205000
1250,738537.5
1251,777000
1252,255000
1253,1527000
1254,600000
1255,377000
1256,335000
1257,800000
1258,375000
1259,475000
1260,438500
1261,196500
1262,960000
1263,380000
1264,455000
1265,1750000
1266,173000
1267,280000
1268,189000
1269,320000
1270,920000
1271,675000
1272,470000
1273,299000
1274,300000
1275,255000
1276,100000
1277,190000
1278,630000
1279,450000
1280,740000
1281,120000
1282,545000
1283,170000
1284,262500
1285,260000
1286,699000
1287,460000
1288,330000
1289,509000
1290,200000
1291,350000
1292,415000
1293,430000
1294,210000
1295,280000
1296,400000
1297,212500
1298,729000
1299,224000
1300,480000
1301,195000
1302,1520000
1303,215000
1304,315000
1305,638000
1306,212850
1307,467000
1308,669000
1309,1255000
1310,664000
1311,314000
1312,98000
1313,775000
1314,331000
1315,360000
1316,269900
1317,1180000
1318,240000
1319,212000
1320,119000
1321,305000
1322,176000
1323,410000
1324,267000
1325,417900
1326,680000
1327,395000
1328,297500
1329,490000
1330,359000
1331,515000
1332,310000
1333,320000
1334,455000
1335,109500
1336,164000
1337,1399900
1338,235000
1339,225000
1340,330000
1341,308000
1342,260000
1343,305000
1344,316000
1345,639900
1346,289000
1347,160000
1348,430000
1349,424000
1350,476000
1351,490000
1352,255000
1353,360000
1354,243500
1355,211000
1356,175000
1357,470000
1358,770000
1359,510000
1360,625000
1361,526500
1362,145000
1363,565000
1364,195667
1365,292000
1366,625000
1367,255000
1368,240000
1369,435000
1370,582000
1371,220000
1372,545000
1373,585000
1374,680000
1375,325000
1376,199900
1377,749000
1378,244000
1379,285000
1380,265000
1381,180000
1382,218500
1383,675000
1384,140000
1385,245000
1386,430000
1387,230000
1388,459900
1389,1290000
1390,205000
1391,452300
1392,479000
1393,747000
1394,285500
1395,177500
1396,455000
1397,415000
1398,457000
1399,1295000
1400,550000
1401,123900
1402,347500
1403,245000
1404,218000
1405,254000
1406,245000
1407,357000
1408,1765000
1409,207500
1410,420000
1411,520000
1412,279500
1413,262500
1414,201000
1415,555000
1416,300000
1417,271900
1418,650000
1419,672000
1420,325000
1421,287000
1422,350000
1423,164900
1424,440000
1425,397000
1426,489000
1427,201000
1428,129000
1429,113000
1430,610000
1431,350000
1432,542000
1433,289000
1434,412000
1435,385000
1436,248000
1437,345000
1438,130000
1439,255000
1440,375500
1441,1025000
1442,449000
1443,280000
1444,390000
1445,880000
1446,559000
1447,156000
1448,290000
1449,222500
1450,211000
1451,284000
1452,250000
1453,237500
1454,599900
1455,300000
1456,327500
1457,515000
1458,115000
1459,291150
1460,185000
1461,550000
1462,317500
1463,280000
1464,451600
1465,380000
1466,245000
1467,322000
1468,191000
1469,225000
1470,420000
1471,283000
1472,475000
1473,401500
1474,750000
1475,245000
1476,240000
1477,297000
1478,330000
1479,95000
1480,299000
1481,402000
1482,357000
1483,290000
1484,360000
1485,230000
1486,214000
1487,310000
1488,383000
1489,190000
1490,275000
1491,223500
1492,303000
1493,420000
1494,352000
1495,232700
1496,350000
1497,513500
1498,415000
1499,225000
1500,480000
1501,1991000
1502,108000
1503,275500
1504,223000
1505,1199600
1506,1300000
1507,256500
1508,296000
1509,180000
1510,74000
1511,185000
1512,420000
1513,1450000
1514,260000
1515,1180000
1516,484800
1517,493000
1518,277500
1519,255000
1520,116000
1521,1512500
1522,240000
1523,698000
1524,364900
1525,235990
1526,1166000
1527,643599
1528,279500
1529,445000
1530,289000
1531,230475
1532,249000
1533,2975000
1534,470000
1535,212500
1536,266000
1537,320000
1538,307500
1539,365000
1540,190000
1541,205000
1542,250000
1543,358900
1544,123000
1545,175000
1546,700000
1547,261000
1548,189000
1549,985000
1550,225000
1551,689000
1552,190000
1553,460000
1554,117000
1555,122500
1556,230000
1557,455000
1558,410000
1559,592000
1560,248000
1561,249000
1562,259500
1563,310000
1564,1100000
1565,305000
1566,312000
1567,510000
1568,465000
1569,195000
1570,489500
1571,219000
1572,118545
1573,270000
1574,220000
1575,140100
1576,256880
1577,465000
1578,2245000
1579,150000
1580,308000
1581,209000
1582,420000
1583,275000
1584,400000
1585,762500
1586,380000
1587,225000
1588,700000
1589,205000
1590,509000
1591,260000
1592,210000
1593,1185300
1594,170000
1595,320000
1596,231000
1597,144000
1598,298000
1599,665000
1600,445000
1601,265000
1602,1537500
1603,210000
1604,575000
1605,757500
1606,340000
1607,280000
1608,421900
1609,495000
1610,335000
1611,305000
1612,324500
1613,210000
1614,315000
1615,685000
1616,369900
1617,384000
1618,242000
1619,489000
1620,331900
1621,637500
1622,375000
1623,270000
1624,532000
1625,278000
1626,212500
1627,199900
1628,430000
1629,415000
1630,378000
1631,350000
1632,415000
1633,638000
1634,785000
1635,582300
1636,66000
1637,215000
1638,172000
1639,700000
1640,275000
1641,375000
1642,3550000
1643,719000
1644,235000
1645,90000
1646,1315000
1647,1199000
1648,630000
1649,539900
1650,328000
1651,208000
1652,208000
1653,290000
1654,465000
1655,654900
1656,553750
1657,520000
1658,295000
1659,165000
1660,342900
1661,260000
1662,145000
1663,6000
1664,473000
1665,264900
1666,535000
1667,245000
1668,117000
1669,280000
1670,252500
1671,234000
1672,137500
1673,146000
1674,150000
1675,550000
1676,294500
1677,365000
1678,406000
1679,325000
1680,195000
1681,370000
1682,234900
1683,85000
1684,485000
1685,407000
1686,350000
1687,178000
1688,177000
1689,285000
1690,125000
1691,507500
1692,260000
1693,225000
1694,282400
1695,305000
1696,452500
1697,282000
1698,234000
1699,590000
1700,201000
1701,439000
1702,740000
1703,1600000
1704,124000
1705,174900
1706,197500
1707,285000
1708,220000
1709,400000
1710,127000
1711,369000
1712,710000
1713,493000
1714,180000
1715,449900
1716,821900
1717,390000
1718,468000
1719,285000
1720,1190000
1721,330000
1722,515000
1723,109500
1724,328000
1725,322000
1726,241500
1727,278000
1728,270000
1729,368000
1730,241000
1731,30000
1732,337000
1733,750000
1734,292500
1735,294000
1736,407500
1737,359000
1738,1050000
1739,879000
1740,585000
1741,709000
1742,365000
1743,304000
1744,765000
1745,425000
1746,370000
1747,725000
1748,449900
1749,190000
1750,65000
1751,171000
1752,392500
1753,335000
1754,438500
1755,245000
1756,485000
1757,255000
1758,172000
1759,265000
1760,355000
1761,485000
1762,475000
1763,118010
1764,970000
1765,3675000
1766,95000
1767,1290000
1768,75000
1769,1199000
1770,385000
1771,465000
1772,295000
1773,1300000
1774,530000
1775,628000
1776,162900
1777,770000
1778,149000
1779,286500
1780,392000
1781,25000
1782,1190000
1783,420000
1784,627000
1785,205000
1786,1120000
1787,249900
1788,440000
1789,213000
1790,2065270
1791,405000
1792,186100
1793,282000
1794,700000
1795,355000
1796,304000
1797,615000
1798,430000
1799,630000
1800,412000
1801,442000
1802,1250000
1803,184900
1804,220000
1805,371000
1806,140000
1807,890000
1808,272000
1809,1675000
1810,233000
1811,225000
1812,300000
1813,395000
1814,456000
1815,408500
1816,415000
1817,239000
1818,265000
1819,205000
1820,152500
1821,442500
1822,428200
1823,150000
1824,410000
1825,390000
1826,725000
1827,337500
1828,500000
1829,185000
1830,380000
1831,270000
1832,245000
1833,382500
1834,160000
1835,328500
1836,430000
1837,350000
1838,175000
1839,336500
1840,200000
1841,374900
1842,426000
1843,282900
1844,185000
1845,185000
1846,379900
1847,160000
1848,240000
1849,1125000
1850,275000
1851,395000
1852,1100000
1853,161500
1854,95000
1855,265000
1856,653000
1857,310000
1858,599000
1859,425000
1860,234900
1861,299000
1862,427500
1863,2340000
1864,1399000
1865,118000
1866,170000
1867,180000
1868,407000
1869,150000
1870,495000
1871,185000
1872,365000
1873,179000
1874,339900
1875,225000
1876,279900
1877,509900
1878,315000
1879,349900
1880,229900
1881,340000
1882,290000
1883,170000
1884,285000
1885,1114131
1886,614000
1887,316000
1888,106000
1889,380000
1890,570000
1891,135000
1892,116900
1893,553900
1894,134400
1895,188000
1896,220000
1897,329500
1898,274900
1899,675000
1900,424866
1901,265000
1902,439900
1903,275000
1904,75000
1905,125000
1906,203157
1907,290000
1908,180000
1909,1300000
1910,192000
1911,370000
1912,450000
1913,241000
1914,219000
1915,678500
1916,481487
1917,340000
1918,98000
1919,133000
1920,535000
1921,290000
1922,439900
1923,230000
1924,393000
1925,263500
1926,500000
1927,327500
1928,212500
1929,174100
1930,83000
1931,168000
1932,490000
1933,710000
1934,995000
1935,190000
1936,410000
1937,560000
1938,110000
1939,168200
1940,296000
1941,164000
1942,377000
1943,325000
1944,327000
1945,242500
1946,229000
1947,190000
1948,275000
1949,329000
1950,250000
1951,377337
1952,489500
1953,223000
1954,162000
1955,500000
1956,335000
1957,415000
1958,580000
1959,470000
1960,214000
1961,189900
1962,100000
1963,501000
1964,358800
1965,204000
1966,152500
1967,195000
1968,109305
1969,406000
1970,497250
1971,265000
1972,310000
1973,51000
1974,379000
1975,150000
1976,1088000
1977,296000
1978,335000
1979,555000
1980,277000
1981,364000
1982,360000
1983,47000
1984,485000
1985,215000
1986,296000
1987,275000
1988,866000
1989,265000
1990,320000
1991,405000
1992,393000
1993,245000
1994,213000
1995,185000
1996,450000
1997,305000
1998,460000
1999,227500
2000,700000
2001,255000
2002,294000
2003,225000
2004,444900
2005,275000
2006,400000
2007,367000
2008,475000
2009,295000
2010,120000
2011,380000
2012,179000
2013,210000
2014,170000
2015,442970
2016,155000
2017,602500
2018,728000
2019,410000
2020,125000
2021,380000
2022,104500
2023,225500
2024,80000
2025,302500
2026,311500
2027,339900
2028,579900
2029,125000
2030,412000
2031,203000
2032,403000
2033,425000
2034,300000
2035,495000
2036,700000
2037,790000
2038,375000
2039,755000
2040,338000
2041,325000
2042,300000
2043,190000
2044,380000
2045,650000
2046,330000
2047,279000
2048,129900
2049,505000
2050,405100
2051,335500
2052,635000
2053,359900
2054,310000
2055,310000
2056,240000
2057,394000
2058,177000
2059,541050
2060,340000
2061,1160000
2062,176000
2063,126000
2064,280000
2065,429000
2066,287500
2067,280000
2068,285000
2069,790000
2070,365000
2071,235000
2072,354800
2073,201000
2074,385000
2075,535000
2076,266000
2077,625000
2078,153230
2079,82770
2080,150000
2081,160000
2082,154900
2083,375000
2084,385000
2085,258000
2086,393000
2087,858000
2088,335000
2089,631500
2090,312000
2091,252500
2092,250000
2093,256500
2094,265000
2095,469000
2096,200000
2097,515000
2098,190000
2099,815000
2100,267000
2101,689000
2102,312500
2103,497900
2104,203400
2105,199500
2106,335000
2107,194500
2108,359625
2109,240000
2110,190000
2111,242500
2112,114900
2113,161000
2114,221000
2115,290000
2116,434000
2117,315000
2118,471000
2119,171500
2120,550000
2121,241900
2122,570000
2123,333000
2124,279900
2125,435000
2126,290000
2127,173500
2128,257900
2129,303000
2130,630000
2131,356000
2132,335000
2133,250900
2134,509900
2135,349000
2136,733500
2137,434000
2138,125000
2139,272000
2140,195000
2141,350000
2142,395000
2143,200000
2144,140000
2145,158000
2146,419200
2147,196000
2148,310000
2149,994000
2150,267500
2151,300000
2152,439900
2153,189900
2154,316000
2155,420000
2156,362000
2157,1010000
2158,420000
2159,225000
2160,199000
2161,375000
2162,330000
2163,1150000
2164,44900
2165,235000
2166,136000
2167,140000
2168,550000
2169,699900
2170,152000
2171,1040000
2172,380000
2173,250000
2174,765000
2175,79900
2176,2500000
2177,555000
2178,121900
2179,553900
2180,395000
2181,280000
2182,334500
2183,156000
2184,271000
2185,677000
2186,237000
2187,182725
2188,181000
2189,480000
2190,300000
2191,798000
2192,279500
2193,635000
2194,310000
2195,975000
2196,405000
2197,396900
2198,291500
2199,250000
2200,233000
2201,355000
2202,240000
2203,299999
2204,1675000
2205,184900
2206,405000
2207,102000
2208,120000
2209,315000
2210,367500
2211,320000
2212,720000
2213,350000
2214,268000
2215,525000
2216,195000
2217,257000
2218,270000
2219,747500
2220,133500
2221,255000
2222,450000
2223,568000
2224,415000
2225,195000
2226,730000
2227,177000
2228,390000
2229,397000
2230,313000
2231,162500
2232,305000
2233,460000
2234,699000
2235,497500
2236,191900
2237,305000
2238,305000
2239,429900
2240,510000
2241,642900
2242,260000
2243,745000
2244,450000
2245,555000
2246,1095000
2247,450000
2248,290000
2249,150000
2250,386062.5
2251,335000
2252,39000
2253,420000
2254,405000
2255,449900
2256,420000
2257,715000
2258,239500
2259,1000000
2260,160000
2261,620000
2262,435000
2263,304900
2264,900000
2265,320000
2266,387000
2267,215000
2268,410000
2269,433000
2270,395000
2271,305000
2272,324000
2273,175000
2274,255000
2275,1190000
2276,430000
2277,319000
2278,479900
2279,160000
2280,510000
2281,470000
2282,220000
2283,120000
2284,250000
2285,202000
2286,530000
2287,35000
2288,160000
2289,150000
2290,960000
2291,530000
2292,325000
2293,800000
2294,220000
2295,399000
2296,200000
2297,449900
2298,240000
2299,283000
2300,545000
2301,620000
2302,306000
2303,315000
2304,635000
2305,330000
2306,335000
2307,150000
2308,60000
2309,135000
2310,268500
2311,208000
2312,305000
2313,215000
2314,195000
2315,251500
2316,1199000
2317,457000
2318,389000
2319,122000
2320,405000
2321,432500
2322,89000
2323,1150000
2324,301000
2325,499999
2326,325000
2327,720000
2328,388000
2329,355000
2330,406000
2331,379900
2332,320000
2333,1175000
2334,380000
2335,325000
2336,575000
2337,285000
2338,722972.82
2339,330000
2340,475000
2341,525000
2342,412000
2343,306000
2344,714000
2345,145000
2346,175000
2347,620000
2348,350000
2349,445000
2350,178500
2351,537500
2352,1000000
2353,960000
2354,105000
2355,174000
2356,352000
2357,323000
2358,339000
2359,837500
2360,460000
2361,565000
2362,290000
2363,550000
2364,284000
2365,311000
2366,665000
2367,53000
2368,190000
2369,645000
2370,795000
2371,550000
2372,270000
2373,435000
2374,269900
2375,263000
2376,799000
2377,230000
2378,90600
2379,445000
2380,125000
2381,360000
2382,685000
2383,166000
2384,245000
2385,365350
2386,190000
2387,675000
2388,260000
2389,424900
2390,475000
2391,278000
2392,278000
2393,541300
2394,130000
2395,191000
2396,487000
2397,287500
2398,297250
2399,709000
2400,250000
2401,175000
2402,417000
2403,407500
2404,350000
2405,287000
2406,202500
2407,399000
2408,203500
2409,290000
2410,380000
2411,95000
2412,230000
2413,430000
2414,332500
2415,229000
2416,64000
2417,178200
2418,387500
2419,211900
2420,575000
2421,325000
2422,365000
2423,454000
2424,375000
2425,540000
2426,205000
2427,260000
2428,312500
2429,185000
2430,270000
2431,133000
2432,260000
2433,521500
2434,185000
2435,1350000
2436,201000
2437,220000
2438,277000
2439,485000
2440,740000
2441,240001
2442,321000
2443,78000
2444,265000
2445,230000
2446,300000
2447,434500
2448,205000
2449,272000
2450,318750
2451,1395000
2452,515825
2453,85000
2454,315000
2455,436000
2456,185000
2457,885000
2458,425000
2459,125000
2460,340000
2461,198000
2462,193700
2463,365000
2464,349900
2465,614250
2466,290000
2467,220000
2468,290000
2469,159000
2470,600000
2471,428800
2472,324000
2473,416000
